"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"CSRP1",12.5797645936826,11.6395483324825,12.3397219827612,10.6390965235162,10.4389621297146,12.0696647579888,10.9592762972911,11.649551452863,11.7595843863212,10.8692296999769,11.4094702542162,11.4394811581874,11.2794202924884,10.6991333384832,10.809196979495,10.679121236654
"UBR1",8.46292119605743,8.40475363052604,8.28338152723346,7.2847867419704,8.18605977534898,8.28839753145008,8.59628086682801,8.7035470405879,8.24124487208194,8.71758042580964,8.48297742851532,8.99217251228939,8.46292119605743,7.58048975102303,8.74765088137679,7.61064470438299
"PGLYRP3",2.99463920913044,6.91813173363835,6.60527225293727,5.73009996095759,8.49701632868578,5.8837956830041,-1.18889876295167,4.50696486411152,-9.96578428466209,5.92039709377685,-9.96578428466209,7.28076107986881,2.35698525316925,1.58277692528383,6.30387182438336,-0.231519843561135
"TNFRSF13C",9.60014420797785,6.97962502878472,7.03605974917797,7.36830338864804,7.35623052938142,7.63577138105536,7.15290792914978,5.68831703454427,5.90209829560119,6.00371135176761,8.1820460355554,7.34214475268733,8.6143270396266,6.19141210986086,5.38184197741056,7.3461693458314
"G6PD",10.178757084124,10.1987742029857,9.67924315663176,9.16148533818991,10.1987742029857,9.37182623800983,9.28268780482271,11.2594121984243,9.78636881234989,9.32675731276066,9.97056422959388,10.1987742029857,9.88147281931265,9.31173385501648,10.8392135099234,9.74031593340216
"ICOSLG",8.05559306931477,7.88792812490401,8.23221506592972,7.22842087317908,7.40552423817877,7.35723662430157,5.57610088284308,8.37867629361981,7.3069266107138,7.87487304764416,7.29887599752692,8.37165523219049,8.31247358187729,6.41622212557966,7.72118594814842,7.31698948132158
"ITGB2",8.9651190442954,9.52905053011843,8.79375610103395,9.48599150987348,8.91902560926686,8.99317447339524,7.9933551754803,9.17450791529867,8.55016021186953,10.3889255156651,9.33777436051903,10.1187042790466,10.6090775334842,8.74364157193216,10.3789180392324,8.98115084999277
"S100B",13.7098924439176,10.7491628687228,12.2997141658584,8.9621130412791,12.1396806374791,12.5297562913955,12.4697459412129,12.4697459412129,13.2798550949587,13.5398789925528,12.8998114261508,8.06663421480306,10.2488159752711,9.60815447676133,13.7998989488415,11.2494081091022
"FCN2",4.76805174328587,2.76290898568733,3.46287578465258,1.9916974714289,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,2.73304245497457,-9.96578428466209,-2.99947886740776,2.22573562545689,-9.96578428466209,-9.96578428466209
"NLRP4",-9.96578428466209,2.76290898568733,-9.96578428466209,-9.96578428466209,1.59476602741068,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,5.28858971584043,-9.96578428466209,-9.96578428466209,-9.96578428466209
"CD3G",8.98014887247448,7.85579164823266,7.88391123110775,7.07333778654955,7.90399523168189,7.63577138105536,7.64682642366927,3.71308670217448,6.84854779901362,9.18452514415845,8.65943997619886,8.5200794200319,8.61031682885917,5.10368146486528,6.4890434354272,6.07680441236571
"S100A1",11.9196280209627,6.18026115856348,11.3194361477189,6.82534681028382,8.85689485737945,13.1098369723299,11.9796431757305,5.47086339287375,11.5295125416154,12.1496828437196,12.0496600776333,10.2888483654157,9.99859184000372,9.7983823314944,10.5190181339357,12.6797803593395
"IL6R",7.72420013625912,8.47696064078401,8.62034230265923,8.26933641826226,8.9260400209246,9.85444395347796,8.93606048783735,8.51707124781048,8.31046729270331,8.26131044384847,9.31373699684744,8.17201151836642,8.75065784650188,7.98331583517235,9.81940572079798,8.7556694228319
"CCR5",6.53251453232874,5.99761773858088,6.32007300895237,6.792052729916,6.89494020953866,7.209293455501,7.22238081836998,7.252579426013,6.69717686165168,8.89898404488969,7.44575667176102,7.21734731102154,7.6789841702741,4.73071461694965,7.24754661276125,5.43097264768761
"FGFR4",4.30381236837608,3.5824397264089,5.08618454168026,5.85124813238768,2.06018968192852,6.28564277451464,4.09186179606248,5.01510455560979,4.98416774001409,3.64517296530678,4.27122651308132,6.03214302362787,6.21067011172772,6.2876683676574,3.18460074196941,3.64193315488175
"PGLYRP2",-9.96578428466209,-9.96578428466209,-9.96578428466209,1.40530223911867,-9.96578428466209,-9.96578428466209,3.01937317602162,5.01510455560979,-9.96578428466209,-9.96578428466209,2.18192907657302,1.25011483269151,-9.96578428466209,-9.96578428466209,4.52783728434456,2.34502711676025
